,BehaviorTest,Animal #,Notes,TestCategory,Date,Time
1689,Write Up,A0059102424,"9/21/2025 kennel tech reports that he is very dog reactive and when she goes to try and leash him to take him outside, he often ducks her leash, runs out and starts fighting with the other dogs in their kennels.",Staff Observation,9/21/2025,04:00 PM
1690,Intake,A0059400937,9/21/2025 Easily handled while in intake and during exam.,Staff Observation,9/21/2025,04:06 PM
1691,Intake,A0059400209,9/21/2025 Easily handled while in intake and for exam but flails and head whips during vetting. Unable to acquire sample for heartworm test. no aggression shown.  ,Staff Observation,9/21/2025,04:13 PM
1692,Intake,A0059401708,9/21/2025 Easily handled while in intake and during exam.,Staff Observation,9/21/2025,04:20 PM
1693,Intake,A0059401647,9/21/2025 Easily handled while in intake and during exam.,Staff Observation,9/21/2025,04:28 PM
1694,Intake,A0059400994,9/21/2025 Easily handled,Staff Observation,9/21/2025,05:21 PM
1695,Intake,A0059399992,"9/21/2025 Hissing, frozen, swiping in intake and exam",Staff Observation,9/21/2025,05:29 PM
1696,Intake,A0059401683,9/21/2025 Hissed but easily handled,Staff Observation,9/21/2025,05:38 PM
1697,Intake,A0059398804,"9/21/2025 Hissing, lunging, growling in intake and exam.",Staff Observation,9/21/2025,05:44 PM
1698,Intake,A0059403501,9/21/2025 easily handled in the kennel and during the intake exam.,Staff Observation,9/21/2025,05:48 PM
1699,Write Up,A0059360117,"9/22/2025 Leashed Kane easily and brought him out to yard with Allie. We brought him out to give him vaccines. He walked into the yard and we allowed him to sniff around and use the bathroom. He approached Allie and allowed her to pet him. I then approached him with a muzzle and he allowed me to put it on him and tighten it without any issue. We administered the vaccines, he flinched a little but when the DHPP was asminstered but had no problems with restraint. I removed the muzzle and we allowed him to walk around to decompress. We hung out with him for a little bit and he walked around and allowed pets while low wagging his tail. Very sweet and very shy. ",Staff Observation,9/22/2025,12:31 PM
1700,Focus Group,A0059365101,9/22/2025 Able to leash & walk over to 200. Still very nervous but behavior seems to be improving. See intake behavior notes. Needs assessment for possible leveling down. ,Staff Observation,9/22/2025,01:16 PM
1701,Intake,A0059377587,9/22/2025 easily handled in the kennel. While in the exam room was constantly jumping and trying to open the door. whining and pacing. Constantly jumping HyperactiveUnable to focus/redirectSigns of stress/fear,Staff Observation,9/22/2025,02:39 PM
1702,Intake,A0059402001,"9/22/2025 poss male aggressive, when approached by females loose body language and happy. Tenses up when a male approaches calms down once man leaves. Easily handled during the intake exam. ",Staff Observation,9/22/2025,03:05 PM
1703,Intake,A0059403140,9/22/2025 easily handled,Staff Observation,9/22/2025,03:11 PM
1704,General Information,A0059318122,"9/22/2025 volunteer attempted to take yazeria out for playgroup assessment but was unable to leash her as yazeria backed away and growled/bared teeth at her. asked makayla to bring yazeria out for assessment and while waiting with her on the bench, volunteer passed by and yazeria growled and lunged at her. ",Staff Observation,9/22/2025,03:16 PM
1705,Intake,A0059402306,9/22/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,9/22/2025,03:19 PM
1706,Intake,A0059403046,9/22/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,9/22/2025,03:31 PM
1707,Intake,A0059403793,9/22/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,9/22/2025,03:57 PM
1708,Intake,A0059404161,9/22/2025 easily handled,Staff Observation,9/22/2025,04:15 PM
1709,Intake,A0059387912,"9/22/2025 Scared, but easily handled",Staff Observation,9/22/2025,04:36 PM
1710,Intake,A0059408642,9/22/2025 Easily handled during the exam. ,Staff Observation,9/22/2025,04:39 PM
1711,Intake,A0059387895,"9/22/2025 Growling, trying to swipe.",Staff Observation,9/22/2025,04:41 PM
1712,Intake,A0059387895,"9/22/2025 Growling, trying to swipe.",Staff Observation,9/22/2025,04:43 PM
1713,Intake,A0059400354,9/22/2025 Easily handled,Staff Observation,9/22/2025,04:49 PM
1714,Intake,A0059402617,9/22/2025 Easily handled both in the kennel and during the exam. ,Staff Observation,9/22/2025,04:54 PM
1715,Intake,A0059397165,"9/22/2025 Growling, hissing, frozen in intake and exam",Staff Observation,9/22/2025,04:59 PM
1716,Focus Group,A0059342239,"9/22/2025 determine outcome options Personality: Old manDog Test 1: With Ruffetta (59055459). At the gate, Gregg had a flagged tail, ears forward, mouth tight, focused on her. Once in the yard, he approached her several times as we did laps around the yard, sniffing her. Each time he approached her, he wagged his tail. Dog Test 2: n/aMedical: Fly bites on ears, a bump/mass on his rear, several attempts to defecate in the yard but unsuccessful except for one time in which the stool was liquid and redHow Do I Handle Stress? doesn't appear stressedWhat Do I Need Help With Most? calm environment, medical attentionThe Most Memorable Thing About Me:Intake Info: see notesWhat is my strategic out? adoption, foster, 'fospice', rescueOngoing care: medicalOther notes: Gillian and I conducted Gregg's focus group. Gillian first approached Gregg's kennel, and he approached with a wagging tail and accepted treats through gate. I then approached and he did the same. I leashed him easily and walked him to the yard. He walked around the yard on leash for a bit, sniffing, urinating, and attempting to defecate. Gillian and I were both able to pet his head and back. We then brought Ruffetta out for a dog test. See above. I then walked him back to his kennel and unleashed easily.  ",Staff Observation,9/22/2025,05:00 PM
1717,Focus Group,A0059341622,"9/22/2025 See surrender/intake behavior memo. Personality: calm, shyDog Test 1: With Tiger (57776766). Layla approached Tiger at the gate with ears forward and low tail wag, clearly interested. Once Tiger was in the yard, Layla approached and sniffed Tiger's rear, and then face. She did attempt to mount him, but we pulled them apart and did a lap. They met and sniffed each other a few more times. On one of these meetings, Layla approached while Tiger was peeing and he growled at her, and she turned away. After these initial meetings, they seemed comfortable coexisting in the yard together - no initiation of play.Dog Test 2: n/aMedical: n/aHow Do I Handle Stress? Avoids itWhat Do I Need Help With Most? Slow introductions, with people and other animals, time to acclimate to new people and environmentsThe Most Memorable Thing About Me: very food motivatedIntake Info: n/aWhat is my strategic out? adoption or fosterOngoing care: Building confidenceOther notes: 9/22 Gillian and I conducted Layla's focus group and dog test. When I approached her kennel, Layla approached the gate with a low tail wag. She accepted treats through the gate. When I opened the gate she backed away but returned when I offered food. When I presented the leash, she retreated to the back of the kennel and turned around. We opened her gate and allowed her to walk to the courtyard, which she did willingly. Once in the yard, she sniffed around for a while, tail remaining low but not tucked. She startled easily, freezing when a kennel tech came out to pick up poop in the other yard and another came out to rinse out outside runs. She would walked near Gillian and I occasionally, but did not solicit pets or other attention. After about 20 minutes in the yard without change, we opened the gate and had her walk back to her kennel, which she walked into without direction or coaxing. We returned to her kennel about 30 minutes late, and she approached again with low tail wag. She again accepted treats from me through the gate. She retreated when I first offered the leash, but after giving some treats through the leash, I was able to leash her. She walked easily on leash, and we took her to the mulch yard. After sniffing for a minute on leash, I walked her towards Gillian who was able to scratch under her chin - Layla slightly turned her head towards Gillian. Gillian took the leash, I gave Layla some treats and was then able to pet Layla's head, chin, neck, and back. Gillian then sat on the bench, and Layla put her front legs up on the bench and Gillian pet her head, neck, and back, with her tail in a low wag. Gillian and I swapped spots and then did the same with me. We then brought Tiger out for a dog test - see above. After the dog test, I walked Layla back to her kennel and unleashed her, all without issue. - Ashley McMahon ",Staff Observation,9/22/2025,05:00 PM
1718,Intake,A0059407710,9/22/2025 Easily handled both in the kennel and during the exam. ,Staff Observation,9/22/2025,05:06 PM
1719,Intake,A0059398552,9/22/2025 Easily handled,Staff Observation,9/22/2025,05:07 PM
1720,Intake,A0059398537,9/22/2025 Easily handled ,Staff Observation,9/22/2025,05:12 PM
1721,Intake,A0059407707,9/22/2025 Easily handled both in the kennel and during the exam. ,Staff Observation,9/22/2025,05:15 PM
1722,Intake,A0059407724,9/22/2025 Easily handled both in the kennel and during the exam. ,Staff Observation,9/22/2025,05:22 PM
1723,Focus Group,A0059343335,"9/22/2025 Personality: goofy sillyDog Test 1: n/aDog Test 2: n/aMedical: n/aHow Do I Handle Stress? avoidant, all bark no bite. gets zoomies to avoid interactionsWhat Do I Need Help With Most? handling on leash. was fine once on leash but showing him the leash and putting it over his head he ducked down to try and avoid. no aggression shown while leashingThe Most Memorable Thing About Me: he went from being aloof to zooming around the yard. zoomies was his way of interacting in a way that felt safe to him, eventually sitting nearby me and allowing me to pet his back. although he seemed unsure about interacting, when he finally allowed me to pet him he faced away from me. fine with pets from head to tail.Intake Info:What is my strategic out? adoption/fosterOngoing care: comfortability with leashing. made big strides today.Other notes: lemon is very barrier reactive but with treats began loosening. upon first approach he took treats nicely but would stiffen when spoken to and growled when hand was offered. let him back inside and discontinued interaction to allow him to decompress. came back 20 minutes later and he displayed slightly looser body language, but this time licked my hand when offered and wagged his tail when i spoke to him. he was fairly avoidant of the leash so we opted to let him out of his kennel and guide him to the courtyard unleashed. after a few minutes of sniffing the yard, he began zooming around the yard passing by me and ashley multiple times. i knelt down and encouraged him to approach me and he ran past me, brushing up against my legs twice before sitting in front of me with his back turned towards me. since he still appeared uncomfortable with direct interaction, i let him be alone in the courtyard for 10 minutes before going back to interact again. when approached he sat at the gate leading to the yard and allowed me to pet his head all over. when i pulled out the leash he attempted to run away but i already had the leash around him - he walked without issue to his kennel and i was able to remove leash without issue. entering interior run his body language was very loose and he offered kisses through the kennel door. video taken of courtyard interaction for reference ",Staff Observation,9/22/2025,05:51 PM
1724,Intake,A0059403490,"9/22/2025 very stressed hard staring, Terrified on leash (running away). once in the exam room was very tense started growling and head whipping once muzzled. Unable to focus/redirectsigns of stress/feartense musclesUrination/defecationHacklesHypertension Running awayGrowling Hard staringWhale eye",Staff Observation,9/22/2025,06:46 PM
1725,Request Level Change (Down),A0059228456,"9/23/2025 Mya A0059228456, L3 SF. Absolutely no problems with her at all . Easy in and out of Kennel. Her SF did not affect my ability to handle her or walk her . If anything , L2,  but really would recommend as an L1- Jeremiah Leveling down to L2-SF based on volunteer and staff notes - NAOMI",Leveling,9/23/2025,02:00 AM
1726,Request Level Change (Down),A0059286155,"9/23/2025 see FG notes Leveling down to L2-BR/LR based on focus group notes and foster notes, continue to monitor behavior - NAOMI",Leveling,9/23/2025,02:00 AM
1727,Level Up/ Acronym Change,A0059187326,9/23/2025 Changed to L2 BR. Bites at the glass when  hand is raised up to  glass.,Leveling,9/23/2025,08:32 AM
1728,Request Level Change (Down),A0059314264,9/23/2025 No longer SF,Leveling,9/23/2025,11:30 AM
1729,Intake,A0059405611,"9/23/2025 while in intake very hyperactive, constantly jumping and nipping at my arm.during exam easily handled.",Staff Observation,9/23/2025,11:49 AM
1730,Request Level Change (Down),A0059342239,"9/23/2025 Leveling down to L3-SF based on focus group, continue observation to level down further - NAOMI",Leveling,9/23/2025,11:54 AM
1731,Request Level Change (Down),A0059341622,"9/23/2025 Leveling down to L3-SD/SF based on focus group and intake notes, continue further observation. - NAOMI",Leveling,9/23/2025,11:58 AM
1732,Request Level Change (Down),A0059343335,"9/23/2025 Leveling down to L3-BR/SF based on focus group, continue to monitor behavior - NAOMI",Leveling,9/23/2025,12:03 PM
1733,Intake,A0059405409,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,12:04 PM
1734,Intake,A0059405438,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,12:16 PM
1735,Intake,A0059405339,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,12:26 PM
1736,Intake,A0059404921,"9/23/2025 while in intake nervous. Lots of lip licking, ducking. otherwise easily handled.during exam easily handled.",Staff Observation,9/23/2025,12:34 PM
1737,Intake,A0059408671,"9/23/2025 while in intake was growling, hard staring and baring teeth.while in exam was growling and hard staring. tried to bite when scanning for chip. couldn't get muzzle on. partial intake was given.*urination*growling*hard staring",Staff Observation,9/23/2025,12:59 PM
1738,Request Level Change (Down),A0059245257,9/23/2025 Gracie req a level down. States he is no longer SF and does not see any RG behaviors,Leveling,9/23/2025,01:00 PM
1739,Intake,A0059407023,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,01:08 PM
1740,Intake,A0059407770,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,01:18 PM
1741,Intake,A0059407732,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,01:27 PM
1742,Intake,A0059410515,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,01:46 PM
1743,Intake,A0059406721,9/23/2025 easily handled while in intake and during exam.,Staff Observation,9/23/2025,01:55 PM
1744,Intake,A0059410538,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,01:56 PM
1745,Intake,A0059411025,9/23/2025 growling and whale eye while in intake. Was fine until lower back was touched then began growling and trying to bite.,Staff Observation,9/23/2025,01:59 PM
1746,Intake,A0059408681,9/23/2025 while in intake a little unsure. go slow otherwise easily handled.during exam muzzled for precaution. doesn't like to be vetted.,Staff Observation,9/23/2025,02:20 PM
1747,Daily Observations,A0059375025,9/23/2025 Elisha said Ramses violently goes after the water hose.  More like tries to bite at the water itself and will bark at it in the process.  ,Staff Observation,9/23/2025,03:11 PM
1748,Level Up/ Acronym Change,A0059376296,9/23/2025 Kenya said that Bea Bea cowers in the corner and screams and dodges the leash.  She categorizes her as L2-SF,Leveling,9/23/2025,03:15 PM
1749,Intake,A0059411001,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,03:30 PM
1750,Intake,A0059410693,"9/23/2025 while in intake was easily handled.during exam was muzzled for precaution, doesn't like to be vetted.",Staff Observation,9/23/2025,03:45 PM
1751,Intake,A0059410700,9/23/2025 while in intake easily handled.during exam muzzled for precaution. doesn't like to be vetted,Staff Observation,9/23/2025,04:02 PM
1752,Intake,A0059411229,"9/23/2025 while in intake shaking, whale eyes. doesn't walk on leash. no aggression shown.during exam easily handled.",Staff Observation,9/23/2025,04:25 PM
1753,Intake,A0059411344,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,04:39 PM
1754,Intake,A0059411258,9/23/2025 easily handled while and during intake and intake exam.,Staff Observation,9/23/2025,04:50 PM
1755,Request Level Change (Down),A0059332683,9/24/2025 See playgroup notes. Level down.,Leveling,9/24/2025,09:51 AM
1756,Intake,A0059414016,9/24/2025 easily handled in the kennel and during the intake exam,Staff Observation,9/24/2025,12:41 PM
1757,Intake,A0057423003,9/24/2025 Slamming head into kennel door as soon as you approach. Barking and lunging while showing all teeth. Dog had to be double catch poled to be sedated for exam. ,Staff Observation,9/24/2025,12:43 PM
1758,Intake,A0059419398,9/24/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,9/24/2025,12:58 PM
1759,Intake,A0059413256,9/24/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,9/24/2025,01:05 PM
1760,Intake,A0059411817,9/24/2025 Lunges and bares teeth when approached. Go slow. Once in the exam room was easily handled. Muzzled out of precaution Urinates due to fear. Tense musclesUrination/DefecationFrozen/Stuck in placeHidingRunning awayGrowlingHard staringTrying to bite/biting,Staff Observation,9/24/2025,01:10 PM
1761,Focus Group,A0059364836,9/24/2025 Able to leash & walk over to 200. Hackles raised while walking but behavior is slowly improving. Needs focus group to determine possible leveling down. ,Staff Observation,9/24/2025,01:15 PM
1762,Intake,A0059411503,9/24/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,9/24/2025,01:16 PM
1763,Intake,A0059419404,9/24/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,9/24/2025,01:25 PM
1764,Intake,A0059415682,9/24/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,9/24/2025,01:31 PM
1765,Intake,A0059414670,"9/24/2025 when approaching the kennel lunged at me, baring teeth and growling. Air snapping had to Use towel to move him. Muzzled out of precaution during the intake exam. Could no complete HW test due to sever matting. Startles easilyAir snappingAlarm barkingGrowlingLifting lip/showing teethTrying to bite/bitingWhale eye",Staff Observation,9/24/2025,01:37 PM
1766,Intake,A0059419456,9/24/2025 easily handled in the kennel. Muzzled for precaution during the intake exam doesn't like to be vetted. ,Staff Observation,9/24/2025,01:44 PM
1767,Intake,A0059419395,9/24/2025 Snarling and lunging when kennel door is approached. Cannot be handled. Partial on catch pole. Tense musclesFrozen/Stuck in placeHacklesAir snappingAlarm Barking GrowlingHard staringWhale eye,Staff Observation,9/24/2025,01:52 PM
1768,Intake,A0059415982,9/24/2025 easily handled,Staff Observation,9/24/2025,01:59 PM
1769,Intake,A0059418152,9/24/2025 Easily handled and super sweet.,Staff Observation,9/24/2025,02:01 PM
1770,Intake,A0059415914,9/24/2025 easily handled ,Staff Observation,9/24/2025,02:04 PM
1771,Level Up/ Acronym Change,A0059023440,9/24/2025 staff report leash biting behavior,Leveling,9/24/2025,02:04 PM
1772,Intake,A0059416012,9/24/2025 easily handled ,Staff Observation,9/24/2025,02:08 PM
1773,Intake,A0059416112,9/24/2025 easily handled in the kennel and during the intake exam. ,Staff Observation,9/24/2025,02:15 PM
1774,Intake,A0059422959,9/24/2025 easily handled during the intake exam. ,Staff Observation,9/24/2025,03:03 PM
1775,Intake,A0059422911,9/24/2025 easily handled during the intake exam.,Staff Observation,9/24/2025,03:10 PM
1776,Intake,A0059422943,9/24/2025 easily handled during the intake exam. ,Staff Observation,9/24/2025,03:16 PM
1777,Focus Group,A0059223836,"9/24/2025 Trying to get Foxy on the urgent list.  Becoming more JM, throws himself at the door and sometimes so hard he falls backward to the ground.  Difficult to take in and out now. Also changing level ",Staff Observation,9/24/2025,03:17 PM
1778,Write Up,A0057324738,"9/24/2025 I was attempting to move him to a different kennel this morning & he greeted me at the kennel door with loose body language & tail wagging. I opened the kennel door to attempt to leash him & he took a few steps back & became very tense. I closed the door & he approached again, so I attempted again. He immediately lunged at the leash with hackles raised. I closed the kennel door & he stayed in the corner of the kennel with whale eyes & alarm barking. ",Staff Observation,9/24/2025,04:07 PM
1779,Intake,A0059418705,9/24/2025 easily handled ,Staff Observation,9/24/2025,04:53 PM
1780,Focus Group,A0057205462,9/24/2025 Needs FG w/Dog Test,Staff Observation,9/24/2025,04:53 PM
1781,Focus Group,A0059356861,9/24/2025 Personality:  Dog Test 1:  Dog Test 2:  Medical:  How Do I Handle Stress?  What Do I Need Help With Most?  The Most Memorable Thing About Me:  Intake Info:  What is my strategic out?  Ongoing care:  Other notes:,Staff Observation,9/24/2025,04:54 PM
1782,Focus Group,A0059364417,nan,Staff Observation,9/24/2025,04:57 PM
1783,Focus Group,A0059397197,9/24/2025 Personality:  Dog Test 1:  Dog Test 2:  Medical:  How Do I Handle Stress?  What Do I Need Help With Most?  The Most Memorable Thing About Me:  Intake Info:  What is my strategic out?  Ongoing care:  Other notes:,Staff Observation,9/24/2025,05:00 PM
1784,Focus Group,A0059403490,9/24/2025 Personality:  Dog Test 1:  Dog Test 2:  Medical:  How Do I Handle Stress?  What Do I Need Help With Most?  The Most Memorable Thing About Me:  Intake Info:  What is my strategic out?  Ongoing care:  Other notes:,Staff Observation,9/24/2025,05:01 PM
1785,Focus Group,A0059346587,9/24/2025 Personality:  Dog Test 1:  Dog Test 2:  Medical:  How Do I Handle Stress?  What Do I Need Help With Most?  The Most Memorable Thing About Me:  Intake Info:  What is my strategic out?  Ongoing care:  Other notes:,Staff Observation,9/24/2025,05:02 PM
1786,Level Up/ Acronym Change,A0059217071,9/24/2025 Foster stated that dog can get destructive when not entertained and is too strong for her. She stated that she has bruises and has been nipped a couple of times. She stated that when they are working on no biting that she takes it as a challenge to bite harder. She stated that she does not do well with other dogs and can become leash reactive when seeing men or other dogs. Staff experienced hard pulling while walking the dog back to a spot. The dog also had its hackles raised but no barking or lunging. Staff leveled up to L2-OA/JM,Leveling,9/24/2025,06:51 PM
1787,Request Level Change (Down),A0059360117,"9/24/2025 L3-SF, see FG notes and write up memo",Leveling,9/24/2025,07:58 PM
1788,Request Level Change (Down),A0059095840,9/24/2025 No longer SF,Leveling,9/24/2025,08:00 PM
1789,Daily Observations,A0059410700,"9/25/2025 During my walk-through, I noticed that the top of Barb's nose was raw and red. I think she is starting to get kennel stressed and is either pushing around her food bowl or blankets.",Staff Observation,9/25/2025,10:03 AM
1790,Level Up/ Acronym Change,A0059317876,9/25/2025 Leveled up to L2-OA from L1 due to him bouncing all over the place in his kennel and being over-aroused ,Leveling,9/25/2025,10:27 AM
1791,Daily Observations,A0059349702,9/25/2025 Starting to get kennel stressed by painting kennel,Staff Observation,9/25/2025,11:16 AM
1792,Request Level Change (Down),A0059361348,"9/25/2025 Changed to L3-BH based on staff notes. They state she is easy to pet but can be iffy when moving or picking up. ""sweet with slow intros""",Leveling,9/25/2025,11:57 AM
1793,Request Level Change (Down),A0059276482,9/25/2025 No longer exhibiting SF tendencies. -RWannagot,Leveling,9/25/2025,12:01 PM
1794,Intake,A0059427008,9/25/2025 crawled for most of the way to exam room still easily handled while in intake. once in exam room she laid on scale and became frozen in place wags tail but wouldn't get up during exam.,Staff Observation,9/25/2025,12:24 PM
1795,Intake,A0059427010,9/25/2025 easily handled while in intake. very sweet but will play bite very gently during exam.,Staff Observation,9/25/2025,12:37 PM
1796,Intake,A0059427025,9/25/2025 does not like to be leashes screams and runs away no aggression shown while in intake. once in exam room and leash was off he became super friendly loose wags and buddy wiggles did better on leash the second time still got spooked and ran randomly during exam.,Staff Observation,9/25/2025,12:45 PM
1797,Level Up/ Acronym Change,A0059121860,"9/25/2025 Changed from SF to BR, Gracie stated he is no longer shy and is friendly with everyone.",Leveling,9/25/2025,12:51 PM
1798,Intake,A0059422897,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,12:54 PM
1799,Daily Observations,A0059303488,9/25/2025 Very dog reactive. I had Tonka out today in a play yard and a volunteer had Handsome on leash walking by. She brought Handsome over to the fence before I could tell her no. (Since I saw him out yesterday and saw how reactive he was to the dog I had out) She was trying to pull Handsome away from them fence and he was pulling her trying to get to Tonka. I just think he needs to be leveled up so more experienced volunteers are handling him. An L2 volunteer had him out yesterday and he seems to do fine with people. But he is pretty scary he’s around other dogs.  -Megan,In Shelter Volunteer Observation,9/25/2025,01:03 PM
1800,Intake,A0059422967,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,01:03 PM
1801,Level Up/ Acronym Change,A0059318122,"9/25/2025 Met her for the first time today. Tried to get her out of the kennel. Approached slowly with treats. Immediately could tell she was stressed and uncomfortable coming out of the kennel with me. I tried to open kennel to provide space but she continued to bark and air snap. Seemed very stressed, lots of anxiety and fear. Currently labeled as L2, would recommend she be an L3. Not sure if she’s more comfortable with certain people over others, but I did not feel safe getting her out. I was unable to get her out today. -Jeramiah Leveling up even though she's in foster in case she returns due to the above note",Leveling,9/25/2025,01:07 PM
1802,Intake,A0059422932,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,01:08 PM
1803,Daily Observations,A0059318122,"9/25/2025 Met her for the first time today. Tried to get her out of the kennel. Approached slowly with treats. Immediately could tell she was stressed and uncomfortable coming out of the kennel with me. I tried to open kennel to provide space but she continued to bark and air snap. Seemed very stressed, lots of anxiety and fear. Currently labeled as L2, would recommend she be an L3. Not sure if she’s more comfortable with certain people over others, but I did not feel safe getting her out. I was unable to get her out today. -Jeramiah",In Shelter Volunteer Observation,9/25/2025,01:08 PM
1804,Daily Observations,A0059212950,9/25/2025 His behavior has improved with the humping and jumping. I used a squeaky toy and treats to get his attention away from humping/jumping on me. -Olivia,Staff Observation,9/25/2025,01:14 PM
1805,Write Up,A0059411025,9/25/2025 bit kennel tech when she was trying to clean his kennel,Staff Observation,9/25/2025,01:24 PM
1806,Intake,A0059423025,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,01:26 PM
1807,Intake,A0059423063,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,01:35 PM
1808,Intake,A0059423095,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,01:44 PM
1809,Intake,A0059423131,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,01:57 PM
1810,Intake,A0059427012,9/25/2025 easily handled while in intake. did not like vetting flailing and defecation muzzled out of precaution during exam.,Staff Observation,9/25/2025,02:02 PM
1811,Intake,A0059427308,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,02:50 PM
1812,Intake,A0059414438,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,03:03 PM
1813,Intake,A0059422620,9/25/2025 Alarm barked for a second before calming down easily handled while in intake. startles easily sign of stress but no aggression shown during exam.,Staff Observation,9/25/2025,04:45 PM
1814,Intake,A0059419884,9/25/2025 frozen/shut down in kennel lets you pick her up easily handled while in intake and during exam.,Staff Observation,9/25/2025,05:05 PM
1815,Intake,A0059421008,9/25/2025 Easily handled.,Staff Observation,9/25/2025,05:07 PM
1816,Intake,A0059420617,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,05:13 PM
1817,Intake,A0059422713,9/25/2025 low growl when approached frozen in place startles easily while in intake. fast movements startle very stiff easily handled otherwise muzzled as precaution.Signs of Stress/Fear Startles easily tense muscles frozen stuck in place hiding running away head whipping whale eye.,Staff Observation,9/25/2025,05:17 PM
1818,Intake,A0059423559,nan,Staff Observation,9/25/2025,05:21 PM
1819,Intake,A0059423559,9/25/2025 Easily handled,Staff Observation,9/25/2025,05:22 PM
1820,Intake,A0059423539,9/25/2025 Easily handled,Staff Observation,9/25/2025,05:37 PM
1821,Intake,A0059427018,9/25/2025 Paces in kennel easily handled once on leash hyperactive while in intake. running away from muzzled unable to muzzle no aggression shown during exam. Hyperactive Snatching Treats Signs of stress/fear tense muscles ducking running away.,Staff Observation,9/25/2025,05:39 PM
1822,Intake,A0059423476,9/25/2025 Easily handled,Staff Observation,9/25/2025,05:42 PM
1823,Intake,A0059422669,9/25/2025 alarm barking but trying to play startles easily but easily handled once on leash while in intake. very friendly but stiff still startles easily no aggression shown during exam.,Staff Observation,9/25/2025,05:46 PM
1824,Intake,A0059423584,9/25/2025 Easily handled,Staff Observation,9/25/2025,05:47 PM
1825,Intake,A0059423515,9/25/2025 Easily handled,Staff Observation,9/25/2025,05:51 PM
1826,Intake,A0059422717,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,05:53 PM
1827,Intake,A0059423468,9/25/2025 Easily handlled,Staff Observation,9/25/2025,05:55 PM
1828,Intake,A0059423485,nan,Staff Observation,9/25/2025,05:59 PM
1829,Intake,A0059426616,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,05:59 PM
1830,Intake,A0059423485,9/25/2025 Easily handled,Staff Observation,9/25/2025,05:59 PM
1831,Intake,A0059426615,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,06:05 PM
1832,Intake,A0059426622,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,06:10 PM
1833,Intake,A0059420585,9/25/2025 easily handled while in intake and during exam.,Staff Observation,9/25/2025,06:23 PM
1834,Intake,A0059426640,9/25/2025 Easily handled in intake kennel & during exam. ,Staff Observation,9/25/2025,06:44 PM
1835,Intake,A0059426629,9/25/2025 Easily handled in intake kennel & during exam.,Staff Observation,9/25/2025,06:48 PM
1836,Intake,A0059426630,9/25/2025 Easily handled in intake kennel & during exam. ,Staff Observation,9/25/2025,06:51 PM
1837,Request Level Change (Down),A0059258400,"9/26/2025 I believe she can be changed to L2, she is no longer L3-SF. When I approached her outside while she was in her run, she was wagging her tail, jumped up on the bars to greet me and allowed me to pet her through the kennel doors.",Leveling,9/26/2025,10:09 AM
1838,Request Level Change (Down),A0059006004,"9/26/2025 No longer SF, rec L1",Leveling,9/26/2025,11:13 AM
1839,Intake,A0059412278,9/26/2025 Easily handled while in intake and during exam.,Staff Observation,9/26/2025,02:01 PM
1840,Intake,A0059430919,9/26/2025 easily handled while in intake and during exam.,Staff Observation,9/26/2025,02:05 PM
1841,Focus Group,A0059375025,"9/26/2025 Check for signs of fear reactivity, body handling. ",Staff Observation,9/26/2025,02:15 PM
1842,Intake,A0057327449,9/26/2025 Easily handled while in intake and during exam.,Staff Observation,9/26/2025,02:15 PM
