,AnimalNumberDT,DogTest
444,A0059305155,"9/12/2025 neutral with greetings, showed a lot more interest in people than dogs. a dog lingered too long after greeting her and she snarled and charged him - had given no prior corrections. "
445,A0059307815,"9/12/2025 high energy play immediately upon entrance, very playful with all dogs. offered correction and began avoiding saul when his energy overwhelmed her. "
446,A0059307907,"9/12/2025 timid upon entrance to yard. tail stayed against her leg and she stood awkwardly in the middle of the yard. lynk approached to greet her and she bared her teeth, then saul did the same and she snapped and charged at him. very fearful, may benefit from additional interactions with dogs"
447,A0059309162,9/14/2025 Primary Handler:Secondary Handler:Runners:Scribe: Notes:very playful and aloof. he reads the room very well and can adapt to any dog. he can be very playful or very calm. very tolerant and listens to any corrections a dog gives him.   
448,A0059312621,9/13/2025 stiff and full body hackles upon entrance to yard. tolerant of dogs checking him out and after quite some time in the yard he loosened and showed tons of interest in engaging in play with nella. kind of an awkward/under socialized boy but did well in a yard of mixed energy
449,A0059312751,"9/12/2025 neutral when greeting other dogs, attempted to mount every dog after greeting them. tolerant of puppies jumping on him but stayed fixated on mounting blixie"
450,A0059314264,"9/12/2025 shy at gate, upon entrance immediately cowered into corner of yard. stayed low to ground, snapped at dogs when they approached. very insecure"
451,A0059315135,"9/12/2025 nervous upon entrance to yard, warmed up and became very social with all dogs. slightly insecure, could benefit from more interactions"
452,A0059317876,"9/22/2025 came into yard hot, gave kisses to all, attempted to mount all dogs incessantly. listened to corrections but didn't back off. no attempts to play just wanted to mount"
453,A0059317990,"9/20/2025 TJ was slightly unsure when first entering the yard but warmed up quickly. she was playful and gave good corrections. potentially was resource guarding the water, as she gave a slight growl when another dog was in the space the same time as her."
454,A0059318122,nan
455,A0059320626,"9/22/2025 very wiggly in pen, neutral in yard. low wagging tail when greeting other dogs. explored yard independently, not much interaction with dogs but coexisted nicely initially. after 10 minutes or so adjusting to the yard, dinero approached ducky and attempted to engage in play and ducky corrected him very strongly. she then approached loyal and cashmere and gave both of them kisses but when they showed interest back she began growling. became very defensive after having been fine, would like to assess 1:1 to determine triggers, if any. very nervous when the spray bottle was pulled out - did not spray her, was backing up other dogs to remove her from the yard and she cowered down and tucked her head. "
456,A0059322059,"9/13/2025 friendly at the gate, was slightly stiff when approaching other dogs in the yard but eventually warmed up and played with high energy puppy. sexually motivated. 

nan"
457,A0059322064,"9/12/2025 friendly gate greeting, very neutral during yard greetings but would get very stiff and police the other female dogs when playing. eventually backed off on her own.

nan"
458,A0059322444,"9/20/2025 low tail when entering the yard. with a lowered, half-turned head he offered kisses to dogs who approached. tankie became very interested in checking bonkie out, and bonkie backed himself into a corner trying to get away but was rather tolerant of tankie attempting to mount him. after tankie was pulled away, bonkie would approach other dogs but then retreat back to the corner. would likely benefit from more socialization"
459,A0059322610,"9/20/2025 he was slightly stiff in the catch pen so brought in on a long leash, extremely sexually motivated, all he wanted to do was mount the other dogs both male and female. needs a retest after neuter. "
460,A0059324050,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Not steerable, does well with different sized dogs, takes correction well   "
461,A0059324101,"9/12/2025 stiff when approached by other dogs, did not engage much with the dogs, didn't explore the yard, behavior similar to a bump on a log. would like to reassess w/ 1 dog to determine sociability. "
462,A0059327037,9/14/2025 permanent whale eyes. very curious and tolerant of all dogs. broke for play for a quick minute but then preferred to just walk around the yard independently and coexist with the other dogs.
463,A0059330167,"9/12/2025 first assessment;VERY steerable, ran away when dogs approached her, tail tucked, arched back, avoidant of face greetings.

9/20/2025 retested; conflict driven, began growling when patron got on top of her. very vocal (in a shepherd-y way). "
464,A0059330401,"9/12/2025 neutral gate greeting, came in very shy and cowered at first, began to open up and quickly started zooming around the yard and wrestling with all the dogs. showed appeasement and very tolerant. "
465,A0059331165,"9/14/2025 Primary Handler:Secondary Handler:Runners:Scribe: Prefered the humans in the yard vs the dogs. Very calm and tolerant around the other dogs but never broke for play. Would potentially be more playful with more time.  

nan"
466,A0059332683,"9/20/2025 loose in catch pen, greeted other dogs nicely. no interest in play but coexisted well in the yard. tolerant of other dogs jumping on him/trying to mount him"
467,A0059333929,"9/20/2025 excited in catch pen, apprehensive once in yard; tucked tail and exposed belly. broke for play but froze when multiple dogs approached her. bared teeth at maldina when she attempted to play too roughly. "
468,A0059337825,"9/14/2025 Primary Handler:Secondary Handler:Runners:Scribe: Notes:Came into the yard very gentle and soft. Tolerant of all the dogs and shows curiosity back when they approach her but preferred not to play. Very handler oriented.  

nan"
469,A0059340615,"9/20/2025 came in unsure and whale eyed, people oriented and quickly ejected as she seemed uncomfortable (stiff and hackles) and like she was about to tip."
470,A0059342195,"9/13/2025 *needs to be collared before coming outside - gets very excited and becomes too wiggly to place a collar on easily* very social and reads other dogs body language very well. she brought up the energy in the yard but was respectful towards dogs that didn't want to engage in play. if you make eye contact with her she will jump on you non-stop. tolerant of dogs mounting her but was great at redirecting the energy off of her. is very stressed in her kennel, would benefit from going out to playgroup as often as possible."
471,A0059342239,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Very steerable, flagged tail, whale eyed and growling during gate greeting, offensive behavior when face to face  "
472,A0059343335,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, had to be pulled from catch pin, very tense when approached, no interest in engaging, incredibly defensive, not tolerant, maybe selective - try slow intros  "
473,A0059343758,"9/20/2025 Clipper was extremely steerable in the catch pen and yard, he really read the room and adapted to other dogs play well. He is super friendly and a fun player as he is wiggly tag!

9/20/2025 Clipper and Dino Nuggies were quick friends, they loved playing tag with each other! He was quick to warm up and greet all the dogs in the yard. Very steerable and super friendly to dogs and people. Only reason he was kicked out is we had many unneutered males entering the yard."
474,A0059346587,"9/14/2025 Primary Handler:Secondary Handler:Runners:Scribe: Notes:Very tolerant of all the dogs and coexisted well. He broke for a very small, gentle play but then went about his way again walking around.  "
475,A0059346628,"9/20/2025 bouncy, playful, high energy play. very social and adaptive "
476,A0059348553,"9/20/2025 avoidant of direct interactions, ran to corner of the yard to get away from dogs; lip licked, turned away. very handler oriented. appeared uncomfortable but coexisted in the yard for quite some time. may not benefit from PG? "
477,A0059349702,"9/20/2025 very social, approached every dog with wiggly butt and attempted to give kisses. thing 1 and dandelion corrected him a few times when he attempted to engage in play with them and though he received the correction well he kept going back to try and play with them again. not great at reading cues"
478,A0059354109,"9/20/2025 stiff upon entrance, inconsistently okay with interacting with dogs. full body hackles and flagged tail through majority of assessment. attempted to engage in play with maldina but was quickly intolerant of maldina's reciprocation. "
479,A0059354459,"9/20/2025 very wiggly, happy to interact with handlers and dogs. really liked to be chased, did not like physical play. "
480,A0059356380,"9/20/2025 loose at gate, super wiggly and playful. gave kisses. during assessment was grabbed/bit by lady jane and removed after. "
481,A0059356897,9/20/2025 very wiggly in catch pen but displayed tucked tail and lowered head once in yard. super tucked tail when thing 1 checked her out but tolerated the greeting. offered correction to spriggy a few times and escalated appropriately. 
482,A0059357256,"9/19/2025 social, offered strong corrections when play became too rough - grabbed galactus' face and became snappy when galactus yelped. started small scuffle with ustad, handlers had to separate as neither dog would back off, but afterwards shook it off and coexisted with ustad well. "
483,A0059357420,"9/21/2025 Jinkies was shy at first but came into the yard with dogs of all sizes and held his own well, friendly little guy who became besties with Kirby Smart."
484,A0059358175,9/21/2025 excited and high energy in pen. once in the yard became avoidant and tried to run to corner of yard and began screeching when dogs approached. very fearful; retest with lower energy dogs. 
485,A0059358610,"9/20/2025 kind of humpy, very friendly/social, loved to play rough"
486,A0059359249,"9/21/2025 brought in on a long leash because she was whale eyed in the catch pen and acting timid. she came into the yard and appeared to be uncomfortable the majority of the time, every now and then her little nub would wag and then she would show her teeth or give a strong correction bark. the dogs in the yard  listened to her well so she mainly kept to self until it was her time to leave. could see her moving to a little to no play or even a gentle yard with time."
487,A0059359687,"9/20/2025 shy but friendly to dogs and humans, had good body language the whole time. had a blast gently playing with his smaller puppy friend Jinkies. "
488,A0059363072,"9/20/2025 gave good corrections, interacted well with the whole group, a little bit of herding came out when the energy picked up but overall very friendly medium energy tag player."
489,A0059364035,"9/20/2025 shy, explored yard independently, no interest in greeting dogs."
490,A0059364413,"9/20/2025 very nervous approaching the yard. inched her way into the yard, the first dog she greeted was bandit, who snapped at her when she sniffed his butt. took correction well and showed interest in greeting other dogs but did not interact beyond that. "
491,A0059366639,"9/20/2025 She came in on a long leash as her gate greetings were a little stiff and unsure. Came into the yard and was a firecracker! Bouncing all over the place in a chaotic manner, definitely brought the energy up in the yard. Had a tiff with Popcorn which was quickly defused- just did not enjoy each others company. Would recommend a smaller play yard with more rough tag players as she could get overstimulated with too many dogs in the yard. "
492,A0059366693,"9/20/2025 very focused on marking every inch of the yard. greeted all dogs with a loose wiggly body. attempted a few times to mount dogs but was steerable (with shaker can only). cool to hang, no attempts to play but was very excited to greet dogs"
493,A0059367483,"9/20/2025 Trevor was friendly and wiggly in the yard, was tolerant when Darla humped him and got along well with the different personalities out with him. "
494,A0059372411,9/23/2025 Seemed very scared of humans and avoided all handlers. Rainey was curious of the other dogs but never engaged. If they showed her attention she would tolerate it but then walk away.
495,A0059375025,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Partially steerable, friendly, good with smaller dogs, LOVES water  "
496,A0059375372,9/20/2025 very neutral in yard. sniffed butts but did not like direct/face to face interactions. 
497,A0059375374,"9/20/2025 VERY scared of everything. could not integrate into yard, taken to indiv. yard where she interacted with tiger but was still very fearful. assessed separately from sister, may need to be brought out together to help with socialization"
498,A0059375376,"9/20/2025 VERY scared of everything. could not integrate into yard, taken to indiv. yard where she interacted with mocha but was still very fearful and showed teeth and air snapped while laying down. assessed separately from sister, may need to be brought out together to help with socialization"
499,A0059376296,9/20/2025 head shy? avoidant of being leashed/unleashed. ok with dogs checking her out but she mainly explored the yard independently and didn't engage with other dogs. unsure if she'll benefit from pg
500,A0059378304,"9/21/2025 reserved in the catch pen, took a lot of encouragement to get her in the yard. remained timid the whole time, kept to herself and growled when other dogs got in her face. was in the yard for awhile because the group just left her alone as she sat there observing. "
501,A0059378340,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, offensive aggression, reassess when neutered   "
502,A0059378573,9/20/2025 loose body and very interested in checking dogs out. became VERY interested in sniffing all the females in the yard and did nothing beyond that. ntbn
503,A0059379214,"9/20/2025 Novisor was wonderful in the yard, a true rockstar! Took corrections well, adapted nicely to meet the needs of other dogs, respected their boundaries and encouraged others to come out of their shells. She seems to be very well socialized and would greatly benefit from coming out frequently since she is anxious and has plenty of energy to burn."
504,A0059380817,"9/20/2025 Darla has never met a stranger, she immediately came in and was ready to play! Went straight in to play bowing and approached all dogs with wiggly body language. A little too high energy for some of the dogs in the yard so she came off too pushy sometimes. At one point, she mounted Trevor who was tolerant of it. At some points she was a vocal player. Darla was tolerant of everything that dogs were doing to her but she might be too much for the more calm dogs who need space. "
505,A0059381706,"9/21/2025 Wilbur was double leashed as he was slightly unsure at the gate, hyper active in the yard at first and was not steerable at all, kept mounting the dogs and not engaging in play. retest after neuter. "
506,A0059381905,9/23/2025 Flicka was neutral in the catchpin and came in curious but not very playful. She would attempt to play but then would disengage and walk away. She hung out in the pool most of the time in the yard and was tolerant of all the dogs walking around her.
507,A0059384043,9/23/2025 Extremely scared in the catchpin and in the yard. She roamed around the yard with her tail tucked most of the time. She was very tolerant of Delaney (dog) trying to play but had zero interest in engaging. 
508,A0059386155,9/23/2025 Very wiggly in the catchpin. Came into the yard gentle and soft. She enjoyed roaming the yard and was very tolerant of any dogs approaching her.
509,A0059386241,9/23/2025 Was very sexually motivated but he did take good correction from the dogs he was trying to mount. He continued to just mount all the dogs so retest after nx.
510,A0059387271,"9/20/2025 stiff, high tail, very interested in sniffing butts. disengages nicely, coexists nicely. didn't pick up on pinkie being nervous. "
511,A0059387378,"9/20/2025 shy, unsure, tail tucked, turned butt away from gourmet when he tried to sniff her butt. high energy dogs were too much. tried to be brave but needs more interactions"
512,A0059389207,"9/20/2025 Kiva came in slightly timid and kept to herself for a few minutes until she felt more comfortable to engage. Dogs gave her space and she wondered around the yard, observing the play and seemed interested. She gently played with the lower energy dogs. She ended up just laying down in the yard and was fine with being approached by the other dogs. "
513,A0059389822,"9/20/2025 Big Marco is a playgroup rockstar! He came in super wiggly and had fun with all the dogs in the yard. He was tolerant of dogs humping him, never offered corrections, stayed in the yard as a greeter. Threw lots of play bows and chased the dogs around, wanted to make all the shy ones play with him, puppy energy but would do well in most play yards as he was adaptive. "
514,A0059390901,"9/20/2025 Papa was pulling hard to get into the yard, he had great body language but was pretty humpy yet was steerable when corrected. He ran around and was friendly to all the dogs he met."
515,A0059390917,"9/22/2025 VERY interested in handlers, neutral with dogs explored yard independently initially but then began showing interest in the other dogs; greeted dogs nicely, took corrections well, and offered appropriate correction when tittle attempted to mount him. very social and sweet boy, can get a bit whiny but is short-lived"
516,A0059392208,9/22/2025 hackles and flagged tail when greeting loyal. disengaged nicely and checked out yard independently. greeted little foot stiffly through gate and began side eyeing dogs next to him. 
517,A0059395592,"9/23/2025 Came into the yard cautious but once a dog approached her, she seemed to perk up a little bit. She had no interest in play and enjoyed roaming around alone. She was very tolerant and at one point just went and sat next to Loyal who was sunbathing alone."
518,A0059395598,9/23/2025 Came into the yard very neutral. Metro didn’t want to engage with any other dogs and had no interest in playing. She didn’t mind the other dogs around her but didn’t initiate any kind of attention from them.
519,A0059395692,9/23/2025 Mario was very tolerant in the yard and had a nonstop wagging tail but had no interest in the other dogs. Mario was more interested in the humans outside of the yard than anything in the yard. Didn’t engage in any play or any interaction with the other dogs.
520,A0059397231,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Tolerant but full body hackles during initial greeting, gives great corrections  "
521,A0059397795,"9/23/2025 Came into the yard curious of the other dogs but quickly disengaged and began to roam the yard alone. Duckie was very tolerant of when a dog ran into her but never gave a correction, just walked away."
522,A0059397798,9/22/2025 very reactive through gate. stiff and growling when dogs approached. once in yard showed no interest initially but then fixated on sniffing delaney's butt. very awkward seems under socialized
523,A0059398528,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, loose body language at gate, social   "
524,A0059398816,"9/22/2025 big wags greeting dogs, checked out yard independently neutral to all energy levels was tolerant of dogs jumping on her though she did tuck her tail but never gave correction. stayed out for 13 other assessments and did well the whole time. eventually tried to chase after a bug flying in the air. "
525,A0059399247,"9/22/2025 very nice body language in pen, super excited and tolerant of tommy rudford jumping on him incessantly. did not reciprocate play attempts but maintained social body language. winner of 'tolerant dog of the year' award"
526,A0059399650,9/23/2025 Very excited in the catchpin but came into the yard more cautious. Midnight was very calm and curious but preferred to sniff the yard rather than engage with the other dogs.
527,A0059399658,9/23/2025 Was very curious and interested in the other dogs but he never broke for play. He preferred to walk around and just coexist. Very tolerant.
528,A0059400937,9/23/2025 Was a little shy in the catchpin but once in the yard Donut quickly broke for play.  Alot of puppy play and bouncing around everywhere all over the dogs.
529,A0059401708,"9/22/2025 very social and wiggly. polite greetings to all dogs in the yard, took corrections very well and stayed neutral through assessment. adapted to the energy of the dog he was engaging with"
530,A0059401825,9/28/2025 Eugene came into the yard hot and ready to play. He bounced around the yard and had a lot of fun playing with Asta.
531,A0059401847,9/23/2025 Came into the yard with a lot of curiosity. She would trail behind the dogs and roam the yard. Very chill and would randomly break for soft play but quickly got bored and stopped.
532,A0059402001,9/23/2025 Neutral in the catchpin. Came into the yard confident and soft. She did great with all the dogs just roaming and coexisting but had very little interest in play.
533,A0059402306,9/23/2025 Excited in the catchpin. Came into the yard slow and soft. Cobber maintained positive body language with the dogs the whole time but didn’t want to engage with them. Enjoyed roaming the yard and sniffing around.
534,A0059403046,9/23/2025 Came into the yard with a lot of curiosity and a wiggly body. She immediately broke for play and had a lot of fun playing with dogs of all sizes. She gives great corrections if a dog becomes too much.
535,A0059403140,"9/23/2025 Very excited in the catchpin. Came into the yard with a lot of curiosity. Permanent whale eyes. Goofy player, he likes to hop around dogs in a circle and get them to chase him. "
536,A0059403793,"9/23/2025 Milan was slightly nervous initially to come into the yard. Once she was in, she roamed around and sniffed. She maintained wiggly, loose body language as Loyal sniffed her. She gave a very strong overcorrection to Delaney (dog) when Delaney got too close to her face. She enjoys her space but doesn’t mind coexisting with other dogs."
537,A0059404161,9/23/2025 Very wiggly and excited in the catchpin. Came into the yard loose and submissive. Hammy hung out with dogs much bigger than her and held her own but eventually got a little overwhelmed.
538,A0059404921,9/28/2025 Buster was very stiff in the catchpin. We decided to hold the other dogs back and bring buster in on leash due to his body language in the catchpin. He greeted princess very politely but then quickly disengaged and walked away. We dropped everyone’s leashes and he was very tolerant but just seemed unsure.
539,A0059407023,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, comfortable in large group, matches play style of the group he's in, very tolerant, sexually motivated - mounted often  "
540,A0059408681,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, terrified/tail tucked initially, gives good corrections, plays with smaller dogs   "
541,A0059410515,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Not steerable with spray bottle but responded to shaker, reassess after neuter   "
542,A0059410538,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Social, sexually motivated, reassess after neutered   "
543,A0059410693,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, cowers when approached by large group, doesn't offer correction, opened up after sustained time in the yard   "
544,A0059410700,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, very submissive  "
545,A0059411229,"9/28/2025 Winehouse was very scared in the catchpin. She came in very nervous and slow while we held the other dogs back due to her being so fearful in the catchpin. Once she was fully in the yard she immediately ran to Loyal (who is much bigger than her) and began to jump on him trying to play but then once he reciprocated the play, she disengaged and went around sniffing the yard alone."
546,A0059411344,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Very excited to meet other dogs, takes correction well, mounted often, reassess after neuter   "
547,A0059411503,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Tolerant, gives good corrections  "
548,A0059411817,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Very jumpy, gave good corrections  "
549,A0059412278,9/28/2025 Phantom was very excited in the catchpin. When he came in he roamed around but never broke for play. He gave a low growl correction to Loyal when Loyal stood over him. He disengaged very quickly and went about roaming.
550,A0059414016,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Had to be led into play yard, gained confidence over time, checks in frequently with handlers   "
551,A0059415682,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, handler oriented, defensive when approached by large group   "
552,A0059418705,nan
553,A0059419398,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Tolerant, laid back   "
554,A0059419404,"9/26/2025 Primary Handler: AshleySecondary Handler: EmelyRunners: Snow and JohnathanScribe: Chase and Jade Steerable, tolerant, great with smaller dogs   "
555,A0059420470,9/28/2025 Tia was very scared in the catchpin. We held the other dogs back and opened the gate and backed away so she would walk in on her own. She was very tolerant of Asta and Loyal sniffing her all over but she really wanted nothing to do with humans or the other dogs. She never got scared when a dog approached her but she would become avoidant and look away.
556,A0059422620,9/28/2025 retest after nx
557,A0059422669,9/28/2025 Galaxy came into he yard very cautious and shy. He gave gentle hop play bows to initiate play. He loved Peeperoni and initiated play with him. Very goofy player.
558,A0059422713,"9/28/2025 Sunshine was very shy in the catchpin. Once in the yard Sunshines tail was initially tucked. When a dog approached her, her tail began to raise up and wiggle a little. She never broke for play but was very tolerant and gentle."
559,A0059422717,9/28/2025 Furbella initially came into the yard very scared and insecure. She roamed around and was very tolerant and curious of dogs approaching her. She never gave corrections to other dogs. Might open up with more socialization.
560,A0059427008,"9/28/2025 Very confident and tolerant. Crawlspace gave very polite corrections to dogs who were too high energy. She rolled around on the ground with the other dogs who were much bigger than her, but she held her own during play."
561,A0059427018,9/28/2025 retest after nx
562,A0059427308,9/28/2025 Immediately came into the yard with lots of play bows and excitement. Peeperoni was very tolerant and read the room very well. He was very adaptive and would respect smaller dogs while playing a little more gentle. New h/g
563,A0059428714,9/28/2025 MB bounced around the yard trying to play awkwardly. Sometimes if a dog engaged he would break and play but other times he would just walk away and start sniffing the yard. 
564,A0059430155,9/28/2025 retest after nx
565,A0059431810,9/28/2025 Sorbo came in very calm and soft. He was very tolerant of Asta jumping all around him trying to get him to play. He reciprocated play bows and did a couple jumps but never fully broke for play. 
566,A0059433997,9/28/2025 Came into the yard very cautious and unsure. Soto was tolerant of all the dogs and almost broke for play but never did. He seems curious but unsure of what to do.
567,A0059434428,9/28/2025 Sora was very wiggly in the catchpin. She came in calm and curious. Once Loyal rolled on his back for attention Sora began to show a lot of dominance. She mounted him with whale eyes. Once she was off him she began to roam the yard but quickly started showing hunting/herding behavior with all of the dogs. She was hyper aware of everything around her. She needs slow intros and socialization.
568,A0059434792,9/28/2025 retest after nx
569,A0059437563,9/28/2025 Dexie was very neutral when she came in and was immediately handler oriented. She wasn’t interested in the other dogs and was mildly avoidant. She would show teeth if a dog got too close to her face but she was easily redirected.
570,A0059437600,9/28/2025 Starlah came into the yard very cautious and shy. She would try to hide behind humans at the beginning. She began to roam around the yard independently and was very tolerant. She allowed dogs to sniff her all over but she never reciprocated the attention.
